,date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,sloop_dummy,school_holiday,bank_holiday,Price,temperature,wind_speed_max,sunshine_radiation,precipitation,snow_height,year,month
12,2005-04-01,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,P1,8.4,3,RS3,P0,S0,2005,4
13,2005-04-02,1529.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,P1,10.3,3,RS3,P0,S0,2005,4
14,2005-04-03,1699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,13.1,2,RS3,P0,S0,2005,4
15,2005-04-04,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,14.5,3,RS2,P1,S0,2005,4
16,2005-04-05,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,9.2,3,RS1,P0,S0,2005,4
17,2005-04-06,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,9.4,3,RS1,P1,S0,2005,4
18,2005-04-07,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.9,4,RS2,P1,S0,2005,4
19,2005-04-08,1089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,6.3,3,RS0,P1,S0,2005,4
20,2005-04-09,1941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,4.1,3,RS1,P1,S0,2005,4
21,2005-04-10,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,6.5,3,RS0,P1,S0,2005,4
22,2005-04-11,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.4,2,RS0,P0,S0,2005,4
23,2005-04-12,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,9.8,2,RS1,P0,S0,2005,4
24,2005-04-13,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,12.1,3,RS1,P0,S0,2005,4
25,2005-04-14,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,13.4,3,RS1,P0,S0,2005,4
26,2005-04-15,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,12.9,4,RS2,P1,S0,2005,4
27,2005-04-16,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,13.0,3,RS1,P0,S0,2005,4
28,2005-04-17,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,11.3,3,RS1,P0,S0,2005,4
29,2005-04-18,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,12.7,2,RS0,P0,S0,2005,4
30,2005-04-19,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.9,5,RS3,P1,S0,2005,4
31,2005-04-20,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,7.9,3,RS2,P0,S0,2005,4
32,2005-04-21,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,7.0,2,RS2,P0,S0,2005,4
33,2005-04-22,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.1,2,RS3,P0,S0,2005,4
34,2005-04-23,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,10.2,2,RS3,P0,S0,2005,4
35,2005-04-24,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,11.8,3,RS2,P0,S0,2005,4
36,2005-04-25,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.8,3,RS1,P0,S0,2005,4
37,2005-04-26,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,10.7,2,RS0,P1,S0,2005,4
38,2005-04-27,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,11.1,4,RS1,P1,S0,2005,4
39,2005-04-28,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,12.3,2,RS2,P0,S0,2005,4
40,2005-04-29,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,12.9,2,RS0,P1,S0,2005,4
41,2005-04-30,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,14.1,2,RS0,P0,S0,2005,4
42,2005-05-01,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,P1,18.7,2,RS3,P0,S0,2005,5
43,2005-05-02,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,20.2,3,RS1,P0,S0,2005,5
44,2005-05-03,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,14.1,3,RS0,P2,S0,2005,5
45,2005-05-04,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,13.0,3,RS1,P0,S0,2005,5
46,2005-05-05,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,P1,9.5,3,RS1,P1,S0,2005,5
47,2005-05-06,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,P1,8.8,4,RS1,P1,S0,2005,5
48,2005-05-07,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,6.7,4,RS0,P1,S0,2005,5
49,2005-05-08,1249.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,5.9,4,RS1,P2,S0,2005,5
50,2005-05-09,771.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,6.4,3,RS1,P1,S0,2005,5
51,2005-05-10,549.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,7.4,3,RS1,P0,S0,2005,5
52,2005-05-11,638.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,8.1,3,RS1,P0,S0,2005,5
