,date,visitors_pool_total,sportbad_closed,freizeitbad_closed,sauna_closed,kursbecken_closed,event,sloop_dummy,school_holiday,bank_holiday,Price,precipitation,sunshine_radiation,temperature,wind_speed_max,snow_height,year,month,day,day_bis
12,2005-04-01,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3,8.4,3,0,2005,4,0,4
13,2005-04-02,1529.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3,10.3,3,0,2005,4,1,5
14,2005-04-03,1699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,13.1,2,0,2005,4,2,6
15,2005-04-04,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,14.5,3,0,2005,4,0,0
16,2005-04-05,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9.2,3,0,2005,4,0,1
17,2005-04-06,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,9.4,3,0,2005,4,0,2
18,2005-04-07,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,8.9,4,0,2005,4,0,3
19,2005-04-08,1089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6.3,3,0,2005,4,0,4
20,2005-04-09,1941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4.1,3,0,2005,4,1,5
21,2005-04-10,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6.5,3,0,2005,4,2,6
22,2005-04-11,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8.4,2,0,2005,4,0,0
23,2005-04-12,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9.8,2,0,2005,4,0,1
24,2005-04-13,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,12.1,3,0,2005,4,0,2
25,2005-04-14,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,13.4,3,0,2005,4,0,3
26,2005-04-15,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,12.9,4,0,2005,4,0,4
27,2005-04-16,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,13.0,3,0,2005,4,1,5
28,2005-04-17,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,11.3,3,0,2005,4,2,6
29,2005-04-18,847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,12.7,2,0,2005,4,0,0
30,2005-04-19,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,8.9,5,0,2005,4,0,1
31,2005-04-20,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,7.9,3,0,2005,4,0,2
32,2005-04-21,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,7.0,2,0,2005,4,0,3
33,2005-04-22,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,8.1,2,0,2005,4,0,4
34,2005-04-23,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,10.2,2,0,2005,4,1,5
35,2005-04-24,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,11.8,3,0,2005,4,2,6
36,2005-04-25,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,8.8,3,0,2005,4,0,0
37,2005-04-26,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,10.7,2,0,2005,4,0,1
38,2005-04-27,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,11.1,4,0,2005,4,0,2
39,2005-04-28,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,12.3,2,0,2005,4,0,3
40,2005-04-29,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,12.9,2,0,2005,4,0,4
41,2005-04-30,937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,14.1,2,0,2005,4,1,5
42,2005-05-01,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,18.7,2,0,2005,5,2,6
43,2005-05-02,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,20.2,3,0,2005,5,0,0
44,2005-05-03,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,14.1,3,0,2005,5,0,1
45,2005-05-04,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,13.0,3,0,2005,5,0,2
46,2005-05-05,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,9.5,3,0,2005,5,0,3
47,2005-05-06,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,8.8,4,0,2005,5,0,4
48,2005-05-07,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6.7,4,0,2005,5,1,5
