,date,visitors_pool_total,sportbad_closed,freizeitbad_closed,kursbecken_closed,school_holiday,bank_holiday,temperature,sunshine_radiation,snow_height,year,month,day
12,2005-04-01,2054.0,0.0,0.0,0.0,3.0,0.0,8.4,RS3,S0,2005,4,0
13,2005-04-02,1529.0,0.0,0.0,0.0,3.0,0.0,10.3,RS3,S0,2005,4,1
14,2005-04-03,1699.0,0.0,0.0,0.0,0.0,0.0,13.1,RS3,S0,2005,4,2
15,2005-04-04,817.0,0.0,0.0,0.0,0.0,0.0,14.5,RS2,S0,2005,4,0
16,2005-04-05,718.0,0.0,0.0,0.0,0.0,0.0,9.2,RS1,S0,2005,4,0
17,2005-04-06,726.0,0.0,0.0,0.0,0.0,0.0,9.4,RS1,S0,2005,4,0
18,2005-04-07,638.0,0.0,0.0,0.0,0.0,0.0,8.9,RS2,S0,2005,4,0
19,2005-04-08,1089.0,0.0,0.0,0.0,0.0,0.0,6.3,RS0,S0,2005,4,0
20,2005-04-09,1941.0,0.0,0.0,0.0,0.0,0.0,4.1,RS1,S0,2005,4,1
21,2005-04-10,2590.0,0.0,0.0,0.0,0.0,0.0,6.5,RS0,S0,2005,4,2
22,2005-04-11,912.0,0.0,0.0,0.0,0.0,0.0,8.4,RS0,S0,2005,4,0
23,2005-04-12,589.0,0.0,0.0,0.0,0.0,0.0,9.8,RS1,S0,2005,4,0
24,2005-04-13,793.0,0.0,0.0,0.0,0.0,0.0,12.1,RS1,S0,2005,4,0
25,2005-04-14,585.0,0.0,0.0,0.0,0.0,0.0,13.4,RS1,S0,2005,4,0
26,2005-04-15,1015.0,0.0,0.0,0.0,0.0,0.0,12.9,RS2,S0,2005,4,0
27,2005-04-16,1658.0,0.0,0.0,0.0,0.0,0.0,13.0,RS1,S0,2005,4,1
28,2005-04-17,2033.0,0.0,0.0,0.0,0.0,0.0,11.3,RS1,S0,2005,4,2
29,2005-04-18,847.0,0.0,0.0,0.0,0.0,0.0,12.7,RS0,S0,2005,4,0
30,2005-04-19,692.0,0.0,0.0,0.0,0.0,0.0,8.9,RS3,S0,2005,4,0
31,2005-04-20,736.0,0.0,0.0,0.0,0.0,0.0,7.9,RS2,S0,2005,4,0
32,2005-04-21,657.0,0.0,0.0,0.0,0.0,0.0,7.0,RS2,S0,2005,4,0
33,2005-04-22,888.0,0.0,0.0,0.0,0.0,0.0,8.1,RS3,S0,2005,4,0
34,2005-04-23,1216.0,0.0,0.0,0.0,0.0,0.0,10.2,RS3,S0,2005,4,1
35,2005-04-24,1230.0,0.0,0.0,0.0,0.0,0.0,11.8,RS2,S0,2005,4,2
36,2005-04-25,763.0,0.0,0.0,0.0,0.0,0.0,8.8,RS1,S0,2005,4,0
37,2005-04-26,612.0,0.0,0.0,0.0,0.0,0.0,10.7,RS0,S0,2005,4,0
38,2005-04-27,771.0,0.0,0.0,0.0,0.0,0.0,11.1,RS1,S0,2005,4,0
39,2005-04-28,681.0,0.0,0.0,0.0,0.0,0.0,12.3,RS2,S0,2005,4,0
40,2005-04-29,903.0,0.0,0.0,0.0,0.0,0.0,12.9,RS0,S0,2005,4,0
41,2005-04-30,937.0,0.0,0.0,0.0,0.0,0.0,14.1,RS0,S0,2005,4,1
42,2005-05-01,1085.0,0.0,0.0,0.0,0.0,1.0,18.7,RS3,S0,2005,5,2
43,2005-05-02,759.0,0.0,0.0,0.0,0.0,0.0,20.2,RS1,S0,2005,5,0
44,2005-05-03,616.0,0.0,0.0,0.0,0.0,0.0,14.1,RS0,S0,2005,5,0
45,2005-05-04,855.0,0.0,0.0,0.0,0.0,0.0,13.0,RS1,S0,2005,5,0
46,2005-05-05,1291.0,0.0,0.0,0.0,0.0,1.0,9.5,RS1,S0,2005,5,0
47,2005-05-06,1695.0,0.0,0.0,0.0,1.0,0.0,8.8,RS1,S0,2005,5,0
48,2005-05-07,1594.0,0.0,0.0,0.0,0.0,0.0,6.7,RS0,S0,2005,5,1
49,2005-05-08,1249.0,0.0,1.0,0.0,0.0,0.0,5.9,RS1,S0,2005,5,2
